# Comprehensive Security Log Sample - Multiple Threat Scenarios
# Format: timestamp|user|department|location|action|url|category|bytes_sent|bytes_received|user_agent|source_ip|destination_ip

# Normal business activity (morning hours)
2024-01-15T08:00:15Z|john.doe|IT|New York|ALLOW|https://www.google.com|Search Engines|1024|2048|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|192.168.1.100|8.8.8.8
2024-01-15T08:01:22Z|jane.smith|HR|Boston|ALLOW|https://www.linkedin.com|Social Networking|512|1536|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)|192.168.1.101|13.107.42.14
2024-01-15T08:02:33Z|alice.brown|IT|New York|ALLOW|https://github.com|Software Development|2048|4096|Mozilla/5.0 (X11; Linux x86_64)|192.168.1.103|140.82.112.4
2024-01-15T08:03:44Z|charlie.davis|Marketing|Seattle|ALLOW|https://www.facebook.com|Social Networking|1536|3072|Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1)|192.168.1.104|31.13.64.35
2024-01-15T08:04:55Z|eve.johnson|IT|New York|ALLOW|https://stackoverflow.com|Software Development|1024|2048|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|192.168.1.105|151.101.193.69

# Suspicious activity begins - High frequency requests from single IP
2024-01-15T08:05:01Z|unknown|unknown|unknown|ALLOW|https://company-portal.com/login|Business|512|1024|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|203.0.113.45|192.168.1.200
2024-01-15T08:05:02Z|unknown|unknown|unknown|ALLOW|https://company-portal.com/login|Business|512|1024|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|203.0.113.45|192.168.1.200
2024-01-15T08:05:03Z|unknown|unknown|unknown|ALLOW|https://company-portal.com/login|Business|512|1024|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|203.0.113.45|192.168.1.200
2024-01-15T08:05:04Z|unknown|unknown|unknown|ALLOW|https://company-portal.com/admin|Business|512|1024|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|203.0.113.45|192.168.1.200
2024-01-15T08:05:05Z|unknown|unknown|unknown|ALLOW|https://company-portal.com/admin/users|Business|512|1024|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|203.0.113.45|192.168.1.200
2024-01-15T08:05:06Z|unknown|unknown|unknown|ALLOW|https://company-portal.com/admin/config|Business|512|1024|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|203.0.113.45|192.168.1.200
2024-01-15T08:05:07Z|unknown|unknown|unknown|ALLOW|https://company-portal.com/admin/database|Business|512|1024|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|203.0.113.45|192.168.1.200

# Malware and phishing attempts
2024-01-15T08:10:15Z|bob.wilson|Finance|Chicago|BLOCK|https://malicious-site.com/download.exe|Malware|0|0|curl/7.68.0|192.168.1.102|185.220.101.182
2024-01-15T08:11:22Z|frank.miller|Sales|Denver|BLOCK|https://suspicious-download.com/trojan.exe|Malware|0|0|Wget/1.20.3|192.168.1.106|45.33.32.156
2024-01-15T08:12:33Z|karen.harris|Marketing|Seattle|BLOCK|https://phishing-site.com/fake-login|Phishing|0|0|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|192.168.1.111|198.51.100.42
2024-01-15T08:13:44Z|rachel.wright|HR|Boston|BLOCK|https://data-exfiltration.com/upload|Data Theft|0|0|Python-urllib/3.8|192.168.1.118|203.0.113.195

# Large data transfers (potential data exfiltration)
2024-01-15T08:15:01Z|mike.johnson|IT|New York|ALLOW|https://cloud-storage.com/upload|Cloud Storage|52428800|1024|Mozilla/5.0 (Windows NT 10.0; Win64; x64)|192.168.1.120|104.16.54.13
2024-01-15T08:16:15Z|sarah.davis|Finance|Chicago|ALLOW|https://backup-service.com/sync|Backup|104857600|2048|BackupClient/2.1|192.168.1.121|52.84.150.50
2024-01-15T08:17:30Z|tom.wilson|Sales|Denver|ALLOW|https://file-share.com/bulk-upload|File Sharing|209715200|4096|FileSync/1.5|192.168.1.122|151.101.193.69

# SQL Injection attempts
2024-01-15T08:20:01Z|unknown|unknown|unknown|BLOCK|https://company-app.com/search?q='; DROP TABLE users; --|Business|512|0|sqlmap/1.4.7|198.51.100.100|192.168.1.200
