LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate
1,081109,203518,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.19.102:54106 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
2,081109,203518,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.jar. blk_-1608999687919862906,E22,BLOCK* NameSystem.allocateBlock:<*>
3,081109,203519,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.10.6:40524 dest: /10.250.10.6:50010,E5,Receiving block <*> src: /<*> dest: /<*>
4,081109,203520,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to blk_-1608999687919862906 size 67108864,E24,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
5,081109,203521,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862907 src: /10.250.19.102:54107 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
6,081109,203522,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.xml. blk_-1608999687919862907,E22,BLOCK* NameSystem.allocateBlock:<*>
7,081109,203523,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862907 src: /10.250.10.6:40525 dest: /10.250.10.6:50010,E5,Receiving block <*> src: /<*> dest: /<*>
8,081109,203524,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to blk_-1608999687919862907 size 1024,E24,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
9,081109,203525,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862908 src: /10.250.19.102:54108 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
10,081109,203526,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.split. blk_-1608999687919862908,E22,BLOCK* NameSystem.allocateBlock:<*>
11,081109,203527,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862908 src: /10.250.10.6:40526 dest: /10.250.10.6:50010,E5,Receiving block <*> src: /<*> dest: /<*>
12,081109,203528,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to blk_-1608999687919862908 size 2048,E24,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
13,081109,203529,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862909 src: /10.250.19.102:54109 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
14,081109,203530,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0002/job.jar. blk_-1608999687919862909,E22,BLOCK* NameSystem.allocateBlock:<*>
15,081109,203531,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862909 src: /10.250.10.6:40527 dest: /10.250.10.6:50010,E5,Receiving block <*> src: /<*> dest: /<*>
16,081109,203532,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to blk_-1608999687919862909 size 67108864,E24,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
17,081109,203533,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862910 src: /10.250.19.102:54110 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
18,081109,203534,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0002/job.xml. blk_-1608999687919862910,E22,BLOCK* NameSystem.allocateBlock:<*>
19,081109,203535,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862910 src: /10.250.10.6:40528 dest: /10.250.10.6:50010,E5,Receiving block <*> src: /<*> dest: /<*>
20,081109,203536,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to blk_-1608999687919862910 size 1024,E24,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
21,081109,203537,143,ERROR,dfs.DataNode$DataXceiver,Failed to receive block blk_-1608999687919862911 src: /10.250.19.102:54111 dest: /10.250.19.102:50010,E6,Failed to receive block <*> src: /<*> dest: /<*>
22,081109,203538,35,ERROR,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: Failed to allocate block for /mnt/hadoop/mapred/system/job_200811092030_0003/job.jar. blk_-1608999687919862911,E23,BLOCK* NameSystem.allocateBlock: Failed to allocate block for <*>
23,081109,203539,143,WARN,dfs.DataNode$DataXceiver,Suspicious block access pattern detected for blk_-1608999687919862912 from multiple sources,E7,Suspicious block access pattern detected for <*> from multiple sources
24,081109,203540,35,WARN,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: Unusual replication pattern for blk_-1608999687919862912,E25,BLOCK* NameSystem.addStoredBlock: Unusual replication pattern for <*>
25,081109,203541,143,ERROR,dfs.DataNode$DataXceiver,Block corruption detected: blk_-1608999687919862913 checksum mismatch,E8,Block corruption detected: <*> checksum mismatch
